Date,Province,Cases,tsf,mst,rh,rfm,area,spd,sca
19/01/2020,Aurora,32,56426,24.91428571,85.57142857,4.75234,3147,17.9301,51.57142857
26/01/2020,Aurora,32,56369.57143,25.14285714,85.57142857,4.629504286,3147,17.91215714,67
02/02/2020,Aurora,31.28571429,56313,24.91428571,86.42857143,4.281305714,3147,17.8942,69.78571429
09/02/2020,Aurora,31,56256.71429,24.72857143,85.57142857,2.48692,3147,17.87627143,54.92857143
16/02/2020,Aurora,31,56200,24.55714286,86,3.231912857,3147,17.85832857,33.28571429
23/02/2020,Aurora,31,56144,24.62857143,86,3.137918571,3147,17.8404,34.57142857
01/03/2020,Aurora,31,56087,24.95714286,85.42857143,2.15794,3147,17.82244286,26.5
08/03/2020,Aurora,17.71428571,56031,27.07142857,83.42857143,2.79065,3147,17.8045,14.07142857
15/03/2020,Aurora,0,55974.14286,27.17142857,83.42857143,3.140987143,3147,17.78657143,1.357142857
22/03/2020,Aurora,0,55918,27.05714286,83.42857143,3.45394,3147,17.76861429,0
29/03/2020,Aurora,1,55861.28571,27.07142857,83.14285714,3.75514,3147,17.75068571,0
05/04/2020,Aurora,3,55808.14286,27.5,83.42857143,5.62764,3147,17.63857143,0
12/04/2020,Aurora,3,55766.42857,27.61428571,84.14285714,6.105211429,3147,17.55392857,0
19/04/2020,Aurora,3,55725.57143,27.68571429,83.42857143,4.47664,3147,17.54097143,0
26/04/2020,Aurora,0.714285714,55684.85714,27.77142857,84,4.317761429,3147,17.52802857,0
03/05/2020,Aurora,0,55644.14286,27.88571429,85.14285714,8.76075,3147,17.51507143,0
10/05/2020,Aurora,0,55603.42857,28.17142857,84.85714286,20.0271,3147,17.50212857,0
17/05/2020,Aurora,0,55562.57143,28.34285714,85.14285714,9.239117143,3147,17.48917143,0
24/05/2020,Aurora,0,55521.71429,28.25714286,85.14285714,5.001468571,3147,17.47622857,0
31/05/2020,Aurora,0,55481,28.05714286,85,1.7486,3147,17.46324286,0
07/06/2020,Aurora,0,55440.28571,28.34285714,83.85714286,4.79159,3147,17.45027143,0
14/06/2020,Aurora,0,55399.42857,28.25714286,84.14285714,4.084648571,3147,17.43732857,0
21/06/2020,Aurora,0,55358.71429,27.88571429,83.85714286,3.14206,3147,17.42437143,0
28/06/2020,Aurora,0,55317.85714,28.15714286,83.57142857,2.28224,3147,17.41142857,0
05/07/2020,Aurora,0,55221.14286,28.05714286,84,3.413885714,3147,17.49958571,0
12/07/2020,Aurora,0,54921.71429,27.78571429,83.85714286,5.802807143,3147,17.45212857,0
19/07/2020,Aurora,0,54605.71429,27.72857143,83.85714286,15.04393,3147,17.35167143,0
26/07/2020,Aurora,0,54289.71429,27.74285714,84.28571429,9.54793,3147,17.25122857,0
02/08/2020,Aurora,5,53973.57143,28.08571429,84,8.74873,3147,17.15081429,0
09/08/2020,Aurora,5,53657.57143,27.85714286,85.71428571,12.24673,3147,17.05037143,0
16/08/2020,Aurora,5,53341.42857,27.82857143,86.14285714,6.944994286,3147,16.94992857,0
23/08/2020,Aurora,5,53025.42857,27.91428571,86.57142857,4.89052,3147,16.84951429,0
30/08/2020,Aurora,5,52709.28571,27.91428571,85.85714286,5.05607,3147,16.74907143,0
06/09/2020,Aurora,5,52393.28571,28.2,85.71428571,12.59212,3147,16.64862857,0
13/09/2020,Aurora,5,52077.28571,28.24285714,86.14285714,13.15740857,3147,16.54821429,0
20/09/2020,Aurora,5,51761.14286,28.12857143,86.28571429,7.03458,3147,16.44777143,0
27/09/2020,Aurora,5,51445.14286,28.1,85.71428571,16.38624857,3147,16.34732857,0
04/10/2020,Aurora,5,51153.57143,27.31428571,88.14285714,22.24659429,3147,16.25474286,0
11/10/2020,Aurora,4.285714286,51014.85714,26.58571429,90,27.98224,3147,16.21064286,0
18/10/2020,Aurora,0,50900.71429,26.84285714,89.28571429,25.37103,3147,16.17435714,0
25/10/2020,Aurora,0,50786.71429,26.48571429,89.14285714,24.98117857,3147,16.1381,0
